"%s codes deleted","%s codes effacés"
"%s codes imported","%s codes importés"
"%s codes not imported","%s codes non importés"
"%s product in feed.","%s produits dans le flux."
"%s product not in feed.","%s produits pas dans le flux."
"Add new","Ajouter"
"Attrib. Set Name","Nom du jeu d'attr."
"Attributes map","Mapping des attributs"
"Cron Frequency","Fréquence du cron"
"Cron Hour","Heure du cron"
"Delete","Supprimer"
"Eav code","Code EAV"
"FTP Password","Mot de passe FTP"
"FTP Path","Chemin FTP"
"FTP Server","Serveur FTP"
"FTP Settings","Paramètres FTP"
"FTP User","Utilisateur FTP"
"FTP: Can't delete files","FTP : Impossible d'effacer les fichiers"
"Feed","Flux"
"Feed code","Code de flux"
"ID","ID"
"Import","Importer"
"Import attribute map","Importer le mapping d'attributs"
"Import code","Code d'import"
"In feed","Dans le flux"
"In order to access your FTP account information, you must first register and verify your store in TheFind Merchant Center.  Click <a href=""https://merchant.thefind.com/mc/claim.fhtml"">here</a> to get started.","Afin d'accéder aux informations de votre compte FTP, vous devez d'abord vous enregistrer et vérifier votre compte dans le Centre Marchand TheFind. Cliquez <a href=""https://merchant.thefind.com/mc/claim.fhtml"">ici</a> pour démarrer."
"Is imported","Est importé(e)"
"Item params","Paramètres de l'article"
"Manage attributes","Gestion des attributs"
"Manage items","Gestion des articles"
"Not import","Ne pas importer"
"Not publish","Ne pas publier"
"Price","Prix"
"Product Name","Nom du produit"
"Product import","Import de produit"
"Publish","Publier"
"SKU","Réf."
"Settings","Paramétrage"
"The Find","The Find"
"TheFind Feed Filename","Nom de fichier du flux TheFind"
"TheFind feed","Flux TheFind"
"Type","Type"
"Unable to process an import. ","Impossible d'exécuter l'import. "
"Update TheFind Item when Product is Updated","Mettre à jour l'article TheFind quand le produit est mis à jour"
"Unable to process an import.","Impossible d'exécuter l'import."