"-- Select --","-- Votre choix --"
"Add New Option","Ajouter une option"
"Add Selection","Ajouter une sélection"
"As Low as","À partir de"
"As low as","À partir de"
"Bundle Items","Articles packagés"
"Bundle Product","Produit packagé"
"Buy %1$s with %2$s discount each","Achetez-en %1$s et profitez d'une remise de %2$s par produit"
"Catalog Product View (Bundle)","Vue produit catalogue (Packagé)"
"Checkbox","Case à cocher"
"Choose a selection...","Choisissez une sélection"
"Close","Fermer"
"Default","Par défaut"
"Default Qty","Qté par défaut"
"Default Title","Titre par défaut"
"Drop-down","Liste déroulante"
"Dynamic","Dynamique"
"Excl. Tax","HT"
"Fixed","Fixé"
"From","De"
"From:","De :"
"Gift Message","Message du cadeau"
"Incl. Tax","TTC"
"Input Type","Type de saisie"
"Is Required","Obligatoire"
"Message:","Message :"
"Multiple Select","Sélection multiple"
"N/A","N/A"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"None","Aucun"
"Percent","Pourcent"
"Percent Discount","Remise en pourcentage"
"Please Select Products to Add","Sélectionnez les produits à ajouter"
"Please enter search conditions to view products.","Veuillez entrer des conditions de recherche pour voir des produits."
"Please select options for product.","Veuillez choisir les options pour le produit."
"Please specify product option(s).","Veuillez préciser la ou les options de produits."
"Position","Position"
"Price Range","Tranche de prix"
"Price Type","Type de prix"
"Price as configured","Prix de cette configuration"
"Qty:","Qté :"
"Radio Buttons","Boutons radio"
"Required options are not selected.","Les options obligatoires ne sont pas sélectionnées."
"Selected required options are not available.","Les options obligatoires sélectionnées ne sont pas disponibles."
"Separately","Séparément"
"Ship Bundle Items","Livrer les articles packagés"
"Shipment","Expédition"
"Store View Title","Titre de la vue magasin"
"There is no defined renderer for ""%s"" option type.","Il n'y a pas de générateur d'affichage pour le type d'option ""%s""."
"This product is also part of bundle(s)","Ce produit fait aussi partie des packages"
"To","À"
"To:","À :"
"Together","Ensemble"
"Use Default Value","Utiliser la valeur par défaut"
"User Defined Qty","Quantité définie par l'utilisateur"
"Delete Option","Supprimer cette option"
"* Required Fields","* Champs obligatoires"