"Action","Action"
"Add Author","Ajouter un auteur"
"Add Contents Path","Ajouter un chemin de contenus"
"Add PHP Extension dependency","Ajouter une dépendance d'extension PHP"
"Add Package dependency","Ajouter une dépendance de package"
"Add files","Ajouter des fichiers"
"Authors","Auteurs"
"Channel","Canal"
"Contents","Contenu"
"Create Extension Package","Créer un package d'extension"
"Dependencies","Dépendances"
"Description","Description"
"Edit Extension","Éditer l'extension"
"Email","Email"
"Extension","Extension"
"Extensions","Extensions"
"Failed to create the package.","Erreur lors de la création du package"
"Failed to load the package data.","Erreur lors du chargement des données du package"
"Failed to save the package.","Erreur lors de la sauvegarde du package"
"Files","Fichiers"
"Folder","Répertoire"
"Ignore","Ignorer"
"Include","Inclure"
"License","Licence"
"License URI","URI de la licence"
"Load Local Package","Charger un package local"
"Load local Package","Charger un package local"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Magento Connect Manager"
"Max","Max"
"Maximum","Maximum"
"Min","Min"
"Minimum","Minimum"
"Name","Nom"
"New Extension","Nouvelle extension"
"PHP Version","Version de PHP"
"Package","Interface"
"Package Extensions","Packager des extensions"
"Package File Name","Nom du fichier de package"
"Package Info","Informations du package"
"Packages","Packages"
"Path","Chemin"
"Release Info","Information sur la version"
"Remove","Supprimer"
"Save As...","Sauvegarder sous..."
"Save Data and Create Package","Sauvegarder et créer le package"
"Save package with custom package file name","Sauvegarder le package avec un nom du fichier de package personnalisé"
"Summary","Résumé"
"System","Système"
"Target","Cible"
"The package %s data has been loaded.","Le package %s a été chargé."
"The package data has been saved.","Les données du package ont bien été enregistrées."
"There was a problem saving package data","Problème lors de la sauvegarde des données du package"
"Type","Type"
"User","Utilisateur"
"1.5.0.0 & later","1.5.0.0 et ultérieures"
"Pre-1.5.0.0","Antérieur à 1.5.0.0"
"Supported releases","Versions supportées"
"Page","Page"
"Invalid package name, allowed: [a-zA-Z0-9_-] chars","Nom de paquet invalide. Caractères autorisés : [a-zA-Z0-9_-]"