"%s is not a supported currency.","%s n'est pas une devise supportée."
"Accept","Accepter"
"Basic","Basique"
"Cannot retrieve rate from %s to %s.","Impossible de récupérer le taux de %s vers %s."
"Cannot retrieve rate from Strikeiron.","Impossible de récupérer le taux sur Strikeiron."
"Check All Email Servers","Vérifiez tous les serveurs email"
"Complete","Terminée"
"Country/Region/Postal Code Combination","Combinaison de pays / région / code postal"
"Customer Tax Class","Classe de taxe client"
"Email Verification","Vérification d'email"
"Enable Email Verification","Activer la vérification d'email"
"Enable Foreign Exchange Rate","Activer le taux de change"
"Enable Global Address Verification","Activer la vérification d'adresse globale"
"Enable Sales and Use Tax","Activer la taxe de ventes et d'utilisation"
"Enable US Address Verification","Activer la vérification d'adresse US"
"Error Address Action","Action d'erreur d'adresse"
"Error Email Recipient","Destinataire du mail d'erreur"
"Error Email Sender","Expéditeur du mail d'erreur"
"Error Email Template","Gabarit du mail d'erreur"
"Foreign Exchange Rates","Taux de change"
"Global Address Verification","Vérification d'adresse globale"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Si le type est complet et que le code postal correspond à plusieurs taux de TVA, choisir d'appliquer le taux mini ou le taux maxi."
"Invalid email address.","Email invalide."
"Maximum Tax Rate","Taux de TVA maxi"
"Minimum Tax Rate","Taux de TVA mini"
"Password","Mot de passe"
"Pop up warning and accept","Alerter par une pop-up et accepter"
"Product Tax Class","Classes de taxe produit"
"Reject","Rejeter"
"Sales and Use Tax","Taxe de ventes et d'utilisation"
"Sales and Use Tax Type","Type de taxe de ventes et d'utilisation"
"Strikeiron","Strikeiron"
"Strikeiron Config","Configuration de Strikeiron"
"Strikeiron Section","Section Strikeiron"
"Strikeiron foreign exchange rate is disabled.","Le taux de change Strikeiron est désactivé."
"Tax","TVA & autres taxes"
"The email address cannot be verified. Please check again and make sure your email address is entered correctly.","L'adresse email ne peut pas être contrôlée. Vérifiez que vous l'avez saisie correctement."
"There are no more hits remaining for the foreign Exchange Rate Service.","Il ne reste plus de crédit pour le service de taux de change."
"There is an error in retrieving the tax rate. Please contact us.","Une erreur est survenue lors de la récupération du taux de TVA. Merci de nous contacter."
"There is an error in verifying an email. Please contact us.","Une erreur est survenue lors de la vérification d'email. Merci de nous contacter."
"There is no response back from Strikeiron server.","Aucune réponse du serveur Strikeiron."
"US Address Verification","Vérification d'adresse US"
"Undetermined Email Action","Action d'email indéterminé"
"Use","Utiliser"
"User ID","ID utilisateur"
"Verify Address in Admin","Vérifier l'adresse dans l'admin"
"Verify Email in Admin","Vérifier l'email dans l'admin"